Date,Open,High,Low,Close,Adj Close,Volume
2013-12-16,19100.000000,19840.000000,19100.000000,19786.800781,19660.144531,26995
2013-12-17,19813.000000,20199.000000,19620.000000,19744.599609,19618.216797,26880
2013-12-18,19820.000000,20075.000000,19760.099609,19898.099609,19770.732422,17134
2013-12-19,19979.000000,20106.800781,19710.000000,19795.300781,19668.591797,10036
2013-12-20,19750.000000,20225.000000,19675.199219,19831.199219,19704.257813,32238
2013-12-23,19735.000000,19880.000000,19511.000000,19627.099609,19501.462891,14093
2013-12-24,19760.000000,19849.800781,19541.300781,19603.900391,19478.416016,12728
2013-12-26,19603.900391,19779.800781,19000.099609,19072.900391,18950.814453,23870
2013-12-27,19149.000000,19449.300781,19120.000000,19408.599609,19284.365234,15268
2013-12-30,19590.000000,19629.900391,19180.000000,19260.599609,19137.312500,15356
2013-12-31,19347.000000,19439.900391,19170.099609,19364.400391,19240.443359,8550
2014-01-01,19399.000000,19499.900391,19216.000000,19276.900391,19153.509766,6371
2014-01-02,19366.000000,19444.000000,18956.300781,19019.800781,18898.056641,10813
2014-01-03,19001.000000,19249.000000,18905.099609,19162.699219,19040.037109,11415
2014-01-06,19174.000000,19439.900391,19046.099609,19287.900391,19164.435547,13030
2014-01-07,19349.000000,19450.000000,19056.099609,19120.300781,18997.912109,7225
2014-01-08,19170.000000,19300.000000,19000.000000,19075.900391,18953.796875,6721
2014-01-09,19150.000000,19249.900391,19023.300781,19153.099609,19030.500000,6314
2014-01-10,19105.000000,19299.900391,19002.000000,19101.500000,18979.230469,6476
2014-01-13,19170.000000,19289.900391,18925.500000,19124.800781,19002.380859,7724
2014-01-14,19170.000000,19420.000000,19103.099609,19264.199219,19140.888672,8600
2014-01-15,19519.000000,19519.000000,19210.000000,19271.800781,19148.437500,2863
2014-01-16,19271.800781,19920.000000,19151.000000,19824.800781,19697.900391,18815
2014-01-17,19899.000000,20155.000000,19421.000000,19522.800781,19397.830078,17950
2014-01-20,19551.000000,19733.599609,19422.000000,19610.800781,19485.271484,8857
2014-01-21,19612.000000,19769.900391,19560.000000,19624.699219,19499.078125,5115
2014-01-22,19624.699219,20049.000000,19570.000000,19953.000000,19825.277344,9540
2014-01-23,20050.000000,20149.000000,19370.000000,19408.800781,19284.564453,12486
2014-01-24,19549.000000,19550.000000,19211.199219,19249.800781,19126.583984,6638
2014-01-27,19175.000000,19244.900391,18740.000000,18804.699219,18684.330078,7680
2014-01-28,18785.800781,19148.699219,18645.000000,19034.300781,18912.457031,5420
2014-01-29,19000.000000,19150.000000,18855.300781,18948.699219,18827.408203,3995
2014-01-30,18900.000000,19247.500000,18670.000000,19030.099609,18932.267578,4941
2014-01-31,19287.000000,19530.000000,19112.300781,19433.900391,19333.990234,8039
2014-02-03,19450.000000,19850.000000,19350.000000,19676.800781,19575.642578,11770
2014-02-04,19470.000000,20020.000000,19305.000000,19895.199219,19792.917969,10185
2014-02-05,19906.000000,20125.000000,19730.000000,19925.400391,19822.962891,12958
2014-02-06,19835.000000,20060.000000,18985.000000,19378.300781,19278.677734,33650
2014-02-07,19050.000000,19250.000000,18686.400391,18807.800781,18711.107422,18591
2014-02-10,18944.000000,19159.900391,18740.000000,18832.699219,18735.875000,10721
2014-02-11,19085.000000,19210.000000,18911.099609,19161.900391,19063.390625,8957
2014-02-12,19250.000000,19250.000000,18900.199219,19182.400391,19083.783203,4156
2014-02-13,19050.000000,19224.000000,18830.599609,18890.300781,18793.185547,5702
2014-02-14,18900.000000,19098.900391,18703.000000,18897.599609,18800.445313,4215
2014-02-17,18850.000000,19089.500000,18771.199219,18890.699219,18793.580078,3417
2014-02-18,18710.000000,18999.900391,18701.800781,18850.199219,18753.292969,3788
2014-02-19,18732.000000,19200.000000,18732.000000,19113.199219,19014.939453,4301
2014-02-20,18913.000000,19194.000000,18802.000000,18834.300781,18737.468750,6359
2014-02-21,18840.000000,19120.500000,18840.000000,18918.000000,18820.744141,7264
2014-02-24,18914.000000,19172.300781,18910.000000,19002.599609,18904.908203,3717
2014-02-25,19002.000000,19175.000000,18991.699219,19085.800781,18987.683594,4038
2014-02-26,19091.199219,19220.000000,19000.000000,19026.599609,18928.787109,7390
2014-02-28,19026.599609,19198.000000,19020.000000,19086.800781,18988.673828,3463
2014-03-03,19010.000000,19200.000000,19000.199219,19098.800781,19000.611328,4444
2014-03-04,19190.000000,19699.900391,19075.000000,19633.300781,19532.363281,12180
2014-03-05,19699.900391,19749.900391,19421.000000,19478.599609,19378.458984,6462
2014-03-06,19499.000000,20550.099609,19448.000000,20367.599609,20262.888672,19966
2014-03-07,20460.000000,20625.000000,20240.000000,20412.300781,20307.363281,12453
2014-03-10,20400.000000,20780.000000,20150.099609,20663.000000,20556.771484,9041
2014-03-11,20679.900391,20975.000000,20560.099609,20785.900391,20679.041016,14300
2014-03-12,20605.000000,20950.000000,20605.000000,20844.400391,20737.238281,15839
2014-03-13,20850.000000,20980.000000,20595.000000,20671.099609,20564.830078,7729
2014-03-14,20700.000000,21100.000000,20530.000000,20943.400391,20835.732422,6703
2014-03-18,20943.400391,21650.300781,20760.500000,21591.800781,21480.798828,17091
2014-03-19,21670.000000,21790.000000,21450.099609,21583.199219,21472.238281,9292
2014-03-20,21585.000000,21604.900391,21270.599609,21453.800781,21343.507813,4633
2014-03-21,21351.000000,22450.000000,21351.000000,22300.900391,22186.250000,30470
2014-03-22,null,null,null,null,null,null
